Order No,Supplier Reference,Supplier Name,Order Reference,Status,Total,Carriage Total,Created At,Created By,Direct Delivery,Expected Delivery Date,Nett Goods Total,Order Date,Warehouse - Name,Weight Total
154,HOOSU001,Hoo Supplies China PTY,aa,"[ASSIGNED, RECEIVED]",47.40,0.00,2019-10-16T14:10:30.377144,default,FALSE,20/11/2019,40.00,16/10/2019,Stourport Pick,26.00
155,MACHH001,MAC Holdings Ltd,aa,"[ASSIGNED, RECEIVED, INVOICED]",36.00,0.00,2019-10-16T14:10:30.652226,default,FALSE,21/11/2019,30.00,16/10/2019,Stourport Pick,0.00
156,HOOSU001,Hoo Supplies China PTY,kls041119,[RECEIVED],23.70,0.00,2019-10-16T14:11:50.102836,default,FALSE,,20.00,16/10/2019,Stourport Pick,13.00
158,BOWYE001,Bowyers Kitchens,ss,"[RECEIVED, INVOICED]",66.00,0.00,2019-11-08T11:15:47.931405,karen,FALSE,14/11/2019,55.00,08/11/2019,Stourport Pick,37.50
159,BOWYE001,Bowyers Kitchens,,[AWAITING_DELIVERY],13.20,0.00,2019-11-08T11:19:04.032135,karen,FALSE,,11.00,08/11/2019,Stourport Pick,0.00
161,HARRY001,Harry's Arts and Crafts suppliers,aaakit,[RECEIVED],48.00,0.00,2019-11-19T09:41:08.229824,karen,FALSE,20/11/2019,40.00,19/11/2019,Stourport Pick,0.00
162,CHINA001,China Steel Industries pty,aa,[AWAITING_DELIVERY],32.71,0.00,2019-11-20T17:13:57.821808,karen,FALSE,27/11/2019,27.60,20/11/2019,Stourport Pick,9.00
164,THEBA001,The Bakery,aa,[AWAITING_DELIVERY],-3.17,0.00,2019-11-22T16:38:38.209327,karen,FALSE,22/11/2019,-2.64,22/11/2019,Stourport Pick,0.10
165,APPHO001,75 A The Apple Tree House,aa,"[ASSIGNED, AWAITING_DELIVERY]",115.20,0.00,2019-11-26T11:50:39.642397,karen,FALSE,27/11/2019,96.00,26/11/2019,Stourport Pick,6.00
166,APPHO001,75 A The Apple Tree House,aa,[RECEIVED],115.20,0.00,2019-11-26T12:06:12.689651,karen,FALSE,27/11/2019,96.00,26/11/2019,Stourport Pick,6.00
167,CHINA001,China Steel Industries pty,aa,"[RECEIVED, INVOICED]",94.80,0.00,2019-11-27T16:19:41.580711,karen,FALSE,27/11/2019,80.00,27/11/2019,Stourport Pick,20.00
168,STONE001,Stone Supplies Ltd,awa,"[RECEIVED, INVOICED]",42.00,0.00,2019-12-04T12:37:30.107471,karen,FALSE,05/12/2019,35.00,04/12/2019,Stourport Pick,25.00
170,THEBA001,The Bakery,123213312,"[RECEIVED, AWAITING_DELIVERY, INVOICED]",7.20,0.00,2019-12-04T15:26:08.842267,default,FALSE,,6.00,04/12/2019,Stourport Bulk,0.20
171,AAAXX001,Axles Supplies Ltd,test output,"[RECEIVED, INVOICED]",4800.00,0.00,2019-12-05T12:28:44.581314,karen,FALSE,05/12/2019,4000.00,05/12/2019,Stourport Pick,750.00
172,STONE001,Stone Supplies Ltd,aa,"[RECEIVED, INVOICED]",510.00,0.00,2019-12-10T14:31:55.529596,karen,FALSE,11/12/2019,425.00,10/12/2019,Stourport Pick,250.00
173,AAAXX001,Axles Supplies Ltd,aa,[RECEIVED],342.00,0.00,2019-12-16T14:37:10.583844,karen,FALSE,16/12/2019,285.00,16/12/2019,Stourport Pick,50.00
174,APPHO001,75 A The Apple Tree House,,"[ASSIGNED, AWAITING_DELIVERY]",988.80,0.00,2019-12-19T16:48:25.255242,default,FALSE,,824.00,19/12/2019,Stourport Pick,51.50
175,CHINA001,China Steel Industries pty,aa,"[RECEIVED, INVOICED]",5.26,0.00,2019-12-20T15:33:59.566716,Karen Ives,FALSE,20/12/2019,4.44,20/12/2019,Stourport Bulk,0.12
176,ARTYS001,The Art Mart,,"[ASSIGNED, AWAITING_DELIVERY]",19.20,0.00,2019-12-20T15:34:17.952420,Karen Ives,FALSE,,16.00,20/12/2019,Stourport Pick,0.00
177,EXETR001,Supplier Warehouse,,"[ASSIGNED, AWAITING_DELIVERY]",102.96,0.00,2019-12-20T15:35:50.696474,karen,FALSE,,85.80,20/12/2019,Stourport Pick,200.75
178,APPHO001,75 A The Apple Tree House,,"[ASSIGNED, RECEIVED]",4416.00,0.00,2020-01-03T15:48:55.046660,karen,FALSE,06/01/2020,3680.00,03/01/2020,Stourport Pick,230.00
179,STOUR001,Stourport Trading Company,aa,"[RECEIVED, AWAITING_DELIVERY]",22.20,0.00,2020-01-06T09:37:49.237213,karen,FALSE,15/01/2020,18.50,06/01/2020,Stourport Pick,0.50
180,CHINA001,China Steel Industries pty,aa,"[RECEIVED, INVOICED]",1438.95,42.30,2020-01-06T16:46:15.010227,karen,FALSE,08/01/2020,1172.00,06/01/2020,Stourport Pick,36.00
181,UMBER001,Umbertos Kitchen Supplies,aa,"[RECEIVED, INVOICED]",198.00,0.00,2020-01-07T15:07:57.121560,karen,FALSE,08/01/2020,165.00,07/01/2020,Stourport Pick,112.50
182,CHINA001,China Steel Industries pty,aa,[AWAITING_DELIVERY],829.50,0.00,2020-01-16T11:07:40.356124,karen,FALSE,17/01/2020,700.00,16/01/2020,Stourport Pick,30.00
183,CHINA001,China Steel Industries pty,aa,"[ASSIGNED, AWAITING_DELIVERY]",1066.50,0.00,2020-01-21T09:17:22.703207,karen,FALSE,23/01/2020,900.00,21/01/2020,Stourport Pick,330.00
184,REALL001,The Really Good Chocolate Factory,mjw,[RECEIVED],102.00,0.00,2020-01-24T15:07:00.023645,mwalters,FALSE,,85.00,24/01/2020,Stourport Pick,50.00
185,ABCDE001,Advanced Kitchens Ltd,111,[RECEIVED],120.00,0.00,2020-01-24T15:13:55.003527,karen,FALSE,24/01/2020,100.00,24/01/2020,Stourport Pick,50.00
186,HERON001,Heron Soft Furnishing Supplies Ltd,,[RECEIVED],36.00,0.00,2020-01-27T14:22:50.356632,karen,FALSE,27/01/2020,30.00,27/01/2020,Stourport Pick,6.00
187,HOOSU001,Hoo Supplies China PTY,aa,[RECEIVED],27.26,0.00,2020-01-27T16:07:33.558030,karen,FALSE,04/02/2020,23.00,27/01/2020,Dudley,0.00
188,CHINA001,China Steel Industries pty,,[RECEIVED],1226.48,0.00,2020-01-27T16:29:13.599670,karen,FALSE,04/02/2020,1035.00,27/01/2020,Stourport Pick,395.00
189,CHINA001,China Steel Industries pty,aa,[RECEIVED],1896.00,0.00,2020-01-31T09:33:23.620017,karen,FALSE,05/02/2020,1600.00,31/01/2020,Stourport Pick,75.00
190,STATI001,All Stationery Supplies Ltd,bb,[RECEIVED],244.80,0.00,2020-02-03T16:03:44.703102,karen,FALSE,05/02/2020,204.00,03/02/2020,Stourport Pick,112.50
191,ARTYS001,The Art Mart,brushes,"[ASSIGNED, RECEIVED]",28.20,0.00,2020-02-04T11:12:49.502104,karen,FALSE,05/02/2020,23.50,04/02/2020,Stourport Pick,0.00
192,EXETR001,Supplier Warehouse,111,"[ASSIGNED, RECEIVED]",19.20,0.00,2020-02-07T11:21:09.087623,karen,FALSE,14/02/2020,16.00,07/02/2020,Stourport Pick,5.00
193,EXETR001,Supplier Warehouse,111,[AWAITING_DELIVERY],25.20,6.00,2020-02-17T12:11:19.292472,karen,FALSE,,16.00,17/02/2020,Stourport Pick,5.00
194,EXETR001,Supplier Warehouse,123,[AWAITING_DELIVERY],26.40,6.00,2020-02-25T15:51:36.568862,karen,FALSE,26/02/2020,16.00,25/02/2020,Stourport Pick,5.00
195,ADDER001,Adder Direct Marketing,111,"[RECEIVED, AWAITING_DELIVERY]",74.64,0.00,2020-02-26T09:07:06.247198,karen,FALSE,,62.20,26/02/2020,Stourport Pick,0.00
196,HARRY001,Harry's Arts and Crafts suppliers,so 1817,"[ASSIGNED, RECEIVED]",9.36,0.00,2020-03-03T10:01:53.868713,karen,FALSE,04/03/2020,7.80,03/03/2020,Stourport Pick,2.50
197,ADDER001,Adder Direct Marketing,22,[AWAITING_DELIVERY],4800.00,0.00,2020-03-04T15:55:20.382977,karen,FALSE,05/03/2020,4000.00,04/03/2020,Kidderminster Bulk,200.00
198,ABCDE001,Advanced Kitchens Ltd,,[AWAITING_DELIVERY],115.20,0.00,2020-03-05T11:25:06.930568,mwalters,FALSE,,96.00,05/03/2020,Kidderminster Pick,1.20
199,EXETR001,Supplier Warehouse,mjw,"[RECEIVED, INVOICED]",1920.00,0.00,2020-03-05T12:16:42.019950,mwalters,FALSE,,1600.00,05/03/2020,Stourport Pick,0.00
200,ABCDE001,Advanced Kitchens Ltd,,[RECEIVED],96.00,0.00,2020-03-05T14:05:12.744445,karen,FALSE,,80.00,05/03/2020,Kidderminster Pick,1.00
201,AAAXX001,Axles Supplies Ltd,33,"[ASSIGNED, RECEIVED]",0.72,0.00,2020-03-06T11:24:54.870605,karen,FALSE,,0.60,06/03/2020,Stourport Pick,0.00
202,EXETR001,Supplier Warehouse,11,[AWAITING_DELIVERY],14.26,0.00,2020-03-06T15:44:46.565840,karen,FALSE,,11.88,06/03/2020,Kidderminster Bulk,72.00
203,CHINA001,China Steel Industries pty,11,[RECEIVED],71.10,0.00,2020-03-09T16:56:56.530541,karen,TRUE,11/03/2020,60.00,09/03/2020,Stourport Pick,0.00
204,CHINA001,China Steel Industries pty,aa,[RECEIVED],71.10,0.00,2020-03-09T16:57:58.351509,karen,TRUE,12/03/2020,60.00,09/03/2020,Stourport Pick,0.00
205,HOOSU001,Hoo Supplies China PTY,aa,[AWAITING_DELIVERY],14.22,0.00,2020-03-10T15:14:10.436115,karen,FALSE,18/03/2020,12.00,10/03/2020,Stourport Pick,0.00
206,HOOSU001,Hoo Supplies China PTY,11,[AWAITING_DELIVERY],54.39,0.00,2020-03-10T15:15:06.898477,karen,FALSE,18/03/2020,45.90,10/03/2020,Stourport Pick,0.00
207,HOOSU001,Hoo Supplies China PTY,333,[RECEIVED],14.22,0.00,2020-03-10T16:11:36.499874,karen,FALSE,12/03/2020,12.00,10/03/2020,Stourport Pick,0.00
208,HOOSU001,Hoo Supplies China PTY,123,[RECEIVED],45.39,0.00,2020-03-10T16:23:46.684495,karen,TRUE,11/03/2020,38.30,10/03/2020,Stourport Pick,0.00
209,BOWYE001,Bowyers Kitchens,123,"[RECEIVED, INVOICED]",45.96,0.00,2020-03-11T08:57:22.009311,karen,TRUE,,38.30,11/03/2020,Stourport Pick,0.00
211,BOWYE001,Bowyers Kitchens,qq,"[ASSIGNED, AWAITING_DELIVERY]",45.96,0.00,2020-03-11T11:30:09.377364,karen,TRUE,,38.30,11/03/2020,Stourport Pick,0.00
212,ARTYS001,The Art Mart,122,"[ASSIGNED, AWAITING_DELIVERY]",72.00,0.00,2020-03-11T11:38:08.846253,karen,TRUE,,60.00,11/03/2020,Stourport Pick,0.00
213,BOWYE001,Bowyers Kitchens,11,"[ASSIGNED, AWAITING_DELIVERY]",45.96,0.00,2020-03-11T12:21:57.513964,karen,TRUE,,38.30,11/03/2020,Stourport Pick,0.00
214,BOWYE001,Bowyers Kitchens,11,"[RECEIVED, INVOICED]",72.00,0.00,2020-03-11T16:08:37.232777,karen,FALSE,,60.00,11/03/2020,Stourport Pick,0.00
215,HOOSU001,Hoo Supplies China PTY,11,[RECEIVED],138.88,0.00,2020-03-11T16:13:16.041303,karen,TRUE,,117.20,11/03/2020,Stourport Pick,0.00
216,HOOSU001,Hoo Supplies China PTY,123,"[ASSIGNED, AWAITING_DELIVERY]",34.72,0.00,2020-03-11T16:19:23.570501,karen,TRUE,,29.30,11/03/2020,Stourport Pick,0.00
217,HOOSU001,Hoo Supplies China PTY,11,"[ASSIGNED, AWAITING_DELIVERY]",35.65,0.00,2020-03-11T16:28:44.009453,karen,FALSE,,30.08,11/03/2020,Stourport Pick,0.00
218,HOOSU001,Hoo Supplies China PTY,11,"[ASSIGNED, AWAITING_DELIVERY]",20.83,0.00,2020-03-11T16:29:03.930219,karen,TRUE,,17.58,11/03/2020,Stourport Pick,0.00
219,HOOSU001,Hoo Supplies China PTY,123,[RECEIVED],178.22,0.00,2020-03-12T10:51:34.027231,karen,TRUE,,150.40,12/03/2020,Stourport Pick,0.00
220,BOWYE001,Bowyers Kitchens,22,[RECEIVED],84.38,0.00,2020-03-12T14:21:13.648352,karen,TRUE,,70.32,12/03/2020,Stourport Pick,0.00
221,CHINA001,China Steel Industries pty,aa,[RECEIVED],208.32,0.00,2020-03-12T14:35:27.514419,karen,TRUE,,175.80,12/03/2020,Stourport Pick,0.00
222,CHINA001,China Steel Industries pty,11,[RECEIVED],89.11,0.00,2020-03-12T15:41:15.528324,karen,TRUE,,75.20,12/03/2020,Stourport Pick,0.00
223,HOOSU001,Hoo Supplies China PTY,11,[RECEIVED],69.44,0.00,2020-03-12T16:16:48.529122,karen,FALSE,,58.60,12/03/2020,Stourport Pick,0.00
224,HARRY001,Harry's Arts and Crafts suppliers,11,"[RECEIVED, AWAITING_DELIVERY]",16.20,0.00,2020-03-17T10:40:21.435750,karen,FALSE,,13.50,17/03/2020,Stourport Pick,0.00
225,EUROT001,Euro Trading,22,[RECEIVED],289.08,0.00,2020-03-19T16:05:38.716730,karen,FALSE,20/03/2020,240.90,19/03/2020,Stourport Pick,0.00
226,AAAXX001,Axles Supplies Ltd,buckets,"[ASSIGNED, AWAITING_DELIVERY]",711.36,0.00,2020-03-26T17:01:26.488423,karen,FALSE,11/03/2020,592.80,26/03/2020,Stourport Pick,312.00
227,EXETR001,Supplier Warehouse,,"[ASSIGNED, AWAITING_DELIVERY]",312.64,0.00,2020-03-27T09:30:33.582694,karen,FALSE,,260.53,27/03/2020,Stourport Pick,69.25
228,STATI001,All Stationery Supplies Ltd,11,"[ASSIGNED, AWAITING_DELIVERY]",120.00,0.00,2020-04-07T09:11:22.298339,karen,FALSE,08/04/2020,100.00,07/04/2020,Stourport Pick,25.00
229,HERON001,Heron Soft Furnishing Supplies Ltd,11,"[ASSIGNED, AWAITING_DELIVERY]",1253.26,0.00,2020-04-07T14:17:29.199268,karen,FALSE,15/04/2020,1044.38,07/04/2020,Stourport Pick,401.25
230,ADDER001,Adder Direct Marketing,aa,"[RECEIVED, AWAITING_DELIVERY]",72.00,0.00,2020-04-08T08:53:31.138721,karen,FALSE,,60.00,08/04/2020,Stourport Pick,0.00
231,PLAST001,Complete Plastics Ltd,ww,[AWAITING_DELIVERY],552.00,0.00,2020-04-08T14:20:31.912804,karen,FALSE,,460.00,08/04/2020,Stourport Pick,150.00
232,WATER001,Water Suppliers Ltd,11,"[RECEIVED, INVOICED]",178.20,0.00,2020-04-08T14:21:01.894281,karen,FALSE,,148.50,08/04/2020,Stourport Pick,600.00
233,STATI001,All Stationery Supplies Ltd,,"[ASSIGNED, AWAITING_DELIVERY]",576.00,0.00,2020-04-14T10:02:23.248041,karen,FALSE,,480.00,14/04/2020,Stourport Pick,44.00
234,EXETR001,Supplier Warehouse,11,"[ASSIGNED, AWAITING_DELIVERY]",4.40,0.00,2020-04-14T10:37:02.977831,karen,FALSE,16/04/2020,4.40,14/04/2020,Stourport Pick,2.00
235,EXETR001,Supplier Warehouse,aa,"[ASSIGNED, AWAITING_DELIVERY]",4.40,0.00,2020-04-14T10:38:13.515207,karen,TRUE,,4.40,14/04/2020,Stourport Pick,2.00
236,HOOSU001,Hoo Supplies China PTY,123,"[ASSIGNED, AWAITING_DELIVERY]",75.73,0.00,2020-04-17T09:56:01.129351,default,FALSE,,63.91,17/04/2020,Stourport Pick,16.50
237,EXETR001,Supplier Warehouse,aa,[AWAITING_DELIVERY],0.00,0.00,2020-04-20T16:05:11.870370,karen,FALSE,22/04/2020,0.00,20/04/2020,Stourport Pick,0.00
238,EXETR001,Supplier Warehouse,aa,"[ASSIGNED, AWAITING_DELIVERY]",36.00,0.00,2020-04-20T16:14:17.334011,karen,FALSE,22/04/2020,30.00,20/04/2020,Stourport Pick,0.00
239,BOWYE001,Bowyers Kitchens,ww,"[ASSIGNED, AWAITING_DELIVERY]",1.20,0.00,2020-04-20T16:58:36.835561,karen,FALSE,22/04/2020,1.00,20/04/2020,Stourport Pick,0.00
240,EUROT001,Euro Trading,qq,"[ASSIGNED, AWAITING_DELIVERY]",35.04,0.00,2020-04-24T12:01:57.590664,karen,FALSE,29/04/2020,29.20,24/04/2020,Stourport Pick,0.00
241,HARRY001,Harry's Arts and Crafts suppliers,11,"[ASSIGNED, AWAITING_DELIVERY]",0.28,0.00,2020-04-28T16:31:05.118182,karen,FALSE,30/04/2020,0.23,28/04/2020,Stourport Pick,0.00
242,HARRY001,Harry's Arts and Crafts suppliers,qq,"[ASSIGNED, AWAITING_DELIVERY, INVOICED]",0.55,0.00,2020-04-28T16:32:15.525231,karen,TRUE,30/04/2020,0.46,30/04/2020,Stourport Pick,0.00
243,HARRY001,Harry's Arts and Crafts suppliers,11,"[AWAITING_DELIVERY, INVOICED]",54.00,0.00,2020-04-28T16:33:04.824597,karen,FALSE,29/04/2020,45.00,28/04/2020,Stourport Pick,0.00
244,HARRY001,Harry's Arts and Crafts suppliers,11,"[AWAITING_DELIVERY, INVOICED]",2.76,0.00,2020-04-30T17:29:52.372837,karen,TRUE,01/05/2020,2.30,30/04/2020,Stourport Pick,0.00
245,WATER001,Water Suppliers Ltd,qq,[RECEIVED],78.41,0.00,2020-05-07T09:54:28.738532,karen,FALSE,14/05/2020,65.34,07/05/2020,Stourport Pick,240.00
246,WATER001,Water Suppliers Ltd,qq,[RECEIVED],78.41,0.00,2020-05-07T10:00:22.250334,karen,FALSE,,65.34,07/05/2020,Stourport Pick,240.00
247,SLOAD030,SLOAD10,test email,[AWAITING_DELIVERY],115.20,0.00,2020-05-12T14:33:10.286547,karen,FALSE,13/05/2020,96.00,12/05/2020,Stourport Pick,1.20
248,HOOSU001,Hoo Supplies China PTY,,[RECEIVED],3875.42,0.00,2020-05-12T16:01:56.256138,karen,FALSE,,3270.40,12/05/2020,Kidderminster Pick,75.00
249,BOWYE001,Bowyers Kitchens,aa,"[ASSIGNED, AWAITING_DELIVERY]",2.32,0.00,2020-05-12T16:02:38.510164,karen,FALSE,,1.93,12/05/2020,Stourport Bulk,2.25
250,BOWYE001,Bowyers Kitchens,11,[RECEIVED],32.52,0.00,2020-05-14T16:11:41.924565,karen,FALSE,15/05/2020,27.10,14/05/2020,Stourport Pick,0.62
251,MALVE001,Malvern Water ,qq,[AWAITING_DELIVERY],16.20,0.00,2020-05-21T11:32:46.411532,karen,FALSE,22/05/2020,13.50,21/05/2020,Stourport Pick,7.50
252,MALVE001,Malvern Water ,qq,[AWAITING_DELIVERY],16.20,0.00,2020-05-21T11:36:42.943107,karen,FALSE,,13.50,21/05/2020,Stourport Pick,7.50
253,MALVE001,Malvern Water ,11,[RECEIVED],10.80,0.00,2020-05-21T11:38:10.680025,karen,FALSE,22/05/2020,9.00,21/05/2020,Stourport Pick,5.00
254,BOWYE001,Bowyers Kitchens,ww,[RECEIVED],10.80,0.00,2020-05-21T12:11:05.028083,karen,FALSE,22/05/2020,9.00,21/05/2020,Stourport Pick,5.00
255,HOOSU001,Hoo Supplies China PTY,,"[RECEIVED, AWAITING_DELIVERY]",6200.68,0.00,2020-05-21T12:34:23.731380,default,FALSE,,5232.64,21/05/2020,Kidderminster Pick,120.00
256,HARRY001,Harry's Arts and Crafts suppliers,aaa,"[ASSIGNED, RECEIVED]",0.00,0.00,2020-05-22T09:18:24.409534,karen,TRUE,28/05/2020,0.00,22/05/2020,Stourport Pick,0.00
257,BOWYE001,Bowyers Kitchens,ww,[AWAITING_DELIVERY],6.72,0.00,2020-05-26T14:18:35.814437,karen,FALSE,28/05/2020,5.60,26/05/2020,Stourport Pick,5.00
258,MALVE001,Malvern Water ,123,[RECEIVED],4.32,0.00,2020-05-26T15:49:40.431185,nathanl,FALSE,,3.60,26/05/2020,Stourport Bulk,10.00
259,MALVE001,Malvern Water ,1235,[RECEIVED],4.32,0.00,2020-05-26T15:57:51.861049,karen,FALSE,04/06/2020,3.60,26/05/2020,Stourport Bulk,10.00
260,MALVE001,Malvern Water ,1235,[RECEIVED],4.32,0.00,2020-05-28T11:43:56.971795,karen,FALSE,29/05/2020,3.60,28/05/2020,Stourport Bulk,10.00
261,HARRY001,Harry's Arts and Crafts suppliers,qq,[RECEIVED],410.40,0.00,2020-05-28T12:39:48.420176,karen,FALSE,03/06/2020,342.00,28/05/2020,Kidderminster Bulk,0.00
262,EUROT001,Euro Trading,11,[RECEIVED],43.80,0.00,2020-05-28T14:22:50.736881,karen,FALSE,29/05/2020,36.50,28/05/2020,Stourport Pick,0.00
263,STATI001,All Stationery Supplies Ltd,qq,[RECEIVED],180.00,0.00,2020-05-28T14:38:44.105414,karen,FALSE,29/05/2020,150.00,28/05/2020,Stourport Pick,10.00
264,EUROT001,Euro Trading,,"[ASSIGNED, RECEIVED]",61.97,0.00,2020-05-28T15:11:48.998428,karen,FALSE,,51.64,28/05/2020,Stourport Pick,0.00
265,STATI001,All Stationery Supplies Ltd,11,[RECEIVED],89.60,0.00,2020-05-28T15:54:11.087491,karen,FALSE,29/05/2020,89.60,28/05/2020,Stourport Pick,38.00
266,STATI001,All Stationery Supplies Ltd,qq1,[RECEIVED],180.00,0.00,2020-05-28T17:08:29.673298,karen,FALSE,04/06/2020,150.00,28/05/2020,Stourport Pick,10.00
267,AAAXX001,Axles Supplies Ltd,123,[RECEIVED],187.04,15.00,2020-05-29T09:21:09.655245,karen,FALSE,04/06/2020,143.37,29/05/2020,Stourport Pick,280.00
268,AAAXX001,Axles Supplies Ltd,123,"[RECEIVED, INVOICED]",22.56,0.00,2020-06-01T17:10:41.748141,karen,FALSE,,18.80,01/06/2020,Stourport Pick,230.00
269,CHINA001,China Steel Industries pty,aa,[RECEIVED],21.33,0.00,2020-06-02T11:55:00.423612,karen,FALSE,17/06/2020,18.00,02/06/2020,Stourport Pick,6.00
270,BOWYE001,Bowyers Kitchens,123,"[RECEIVED, INVOICED]",62.40,0.00,2020-06-02T12:53:46.546982,karen,FALSE,,52.00,02/06/2020,Stourport Pick,0.00
271,ARTSS001,All Artists Supplies Ltd,11,"[RECEIVED, INVOICED]",30.00,0.00,2020-06-02T12:54:14.988022,karen,FALSE,16/06/2020,25.00,02/06/2020,Stourport Pick,0.00
272,AAAXX001,Axles Supplies Ltd,11,[RECEIVED],48.00,0.00,2020-06-02T14:18:49.063288,karen,FALSE,09/06/2020,40.00,02/06/2020,Stourport Pick,0.00
273,AAAXX001,Axles Supplies Ltd,1,[RECEIVED],96.00,0.00,2020-06-02T14:27:10.028399,karen,FALSE,,80.00,02/06/2020,Stourport Pick,0.00
274,AAAXX001,Axles Supplies Ltd,2,[RECEIVED],120.00,0.00,2020-06-02T14:27:31.442676,karen,FALSE,,100.00,02/06/2020,Stourport Pick,0.00
275,KAREN001,Karen L Scanlon,11,"[RECEIVED, AWAITING_DELIVERY, INVOICED]",57.60,0.00,2020-06-02T16:28:02.489188,karen,FALSE,,48.00,02/06/2020,Stourport Pick,12.00
276,CHINA001,China Steel Industries pty,112,[RECEIVED],9.48,0.00,2020-06-04T16:55:18.453949,karen,FALSE,26/06/2020,8.00,04/06/2020,Stourport Pick,2.00
277,BOWYE001,Bowyers Kitchens,qq,"[RECEIVED, INVOICED]",648.00,0.00,2020-06-04T16:57:11.942226,karen,FALSE,12/06/2020,540.00,04/06/2020,Stourport Pick,0.00
278,BOWYE001,Bowyers Kitchens,qq,"[AWAITING_DELIVERY, INVOICED]",648.00,0.00,2020-06-04T17:01:39.122488,karen,FALSE,,540.00,04/06/2020,Stourport Pick,0.00
279,BOWYE001,Bowyers Kitchens,qq,"[RECEIVED, INVOICED]",35.98,0.00,2020-06-05T12:29:35.068677,karen,FALSE,05/06/2020,29.98,05/06/2020,Stourport Pick,0.00
280,BOWYE001,Bowyers Kitchens,qq,"[RECEIVED, INVOICED]",115.20,0.00,2020-06-09T16:06:08.835281,karen,FALSE,18/06/2020,96.00,09/06/2020,Stourport Pick,6.00
281,ARTSS001,All Artists Supplies Ltd,aa,"[RECEIVED, INVOICED]",100.80,0.00,2020-06-09T16:17:41.181773,karen,FALSE,10/06/2020,84.00,09/06/2020,Stourport Pick,6.00
282,ARTSS001,All Artists Supplies Ltd,11,"[RECEIVED, INVOICED]",115.20,0.00,2020-06-10T12:39:58.207392,karen,FALSE,11/06/2020,96.00,10/06/2020,Stourport Pick,60.00
283,ARTSS001,All Artists Supplies Ltd,aa,"[RECEIVED, INVOICED]",960.00,0.00,2020-06-10T12:57:03.570097,karen,FALSE,,800.00,10/06/2020,Stourport Pick,500.00
284,BOWYE001,Bowyers Kitchens,average1,"[RECEIVED, INVOICED]",24.00,0.00,2020-06-10T14:17:16.304687,karen,FALSE,,20.00,10/06/2020,Stourport Pick,0.00
285,ARTSS001,All Artists Supplies Ltd,fifo no flag,"[RECEIVED, INVOICED]",96.00,0.00,2020-06-10T14:56:38.869262,karen,FALSE,11/06/2020,80.00,10/06/2020,Stourport Pick,50.00
286,BOWYE001,Bowyers Kitchens,11,"[RECEIVED, INVOICED]",28.80,0.00,2020-06-10T15:18:03.052936,karen,FALSE,,24.00,10/06/2020,Stourport Pick,0.00
287,ARTYS001,The Art Mart,aa,"[RECEIVED, INVOICED]",240.00,0.00,2020-06-10T17:05:21.779384,karen,FALSE,11/06/2020,200.00,10/06/2020,Stourport Pick,100.00
288,MALVE001,Malvern Water ,aa,[RECEIVED],43.20,0.00,2020-06-11T09:26:51.533240,karen,FALSE,,36.00,11/06/2020,Stourport Pick,100.00
289,ARTSS001,All Artists Supplies Ltd,123,"[RECEIVED, INVOICED]",1200.00,0.00,2020-06-11T10:23:56.372637,karen,FALSE,12/06/2020,1000.00,11/06/2020,Stourport Pick,50.00
290,ARTSS001,All Artists Supplies Ltd,123,"[RECEIVED, INVOICED]",1200.00,0.00,2020-06-11T11:06:43.489138,karen,FALSE,11/06/2020,1000.00,11/06/2020,Stourport Pick,50.00
291,BOWYE001,Bowyers Kitchens,qq,"[RECEIVED, INVOICED]",240.00,0.00,2020-06-11T11:13:02.700749,karen,FALSE,,200.00,11/06/2020,Stourport Pick,50.00
292,BOWYE001,Bowyers Kitchens,qq,"[RECEIVED, INVOICED]",2400.00,0.00,2020-06-11T11:16:35.309603,karen,FALSE,12/06/2020,2000.00,11/06/2020,Stourport Pick,0.00
293,ARTSS001,All Artists Supplies Ltd,Test 4,"[RECEIVED, INVOICED]",120.00,0.00,2020-06-11T12:17:34.743455,karen,FALSE,12/06/2020,100.00,11/06/2020,Stourport Pick,500.00
294,ARTSS001,All Artists Supplies Ltd,Test 4-2,"[RECEIVED, INVOICED]",120.00,0.00,2020-06-11T12:24:34.605094,karen,FALSE,12/06/2020,100.00,11/06/2020,Stourport Pick,500.00
295,BOWYE001,Bowyers Kitchens,test 4-3,"[RECEIVED, INVOICED]",60.00,0.00,2020-06-11T12:39:59.583122,karen,FALSE,12/06/2020,50.00,11/06/2020,Stourport Pick,0.00
296,EXETR001,Supplier Warehouse,123,"[RECEIVED, INVOICED]",150.00,0.00,2020-06-15T09:58:28.918213,nathanl,TRUE,18/06/2020,125.00,15/06/2020,Stourport Pick,1000.00
297,ARTSS001,All Artists Supplies Ltd,qq,"[ASSIGNED, AWAITING_DELIVERY, INVOICED]",29.57,0.00,2020-06-15T15:03:51.258869,karen,TRUE,17/06/2020,24.64,15/06/2020,Stourport Pick,22.00
298,APPHO001,75 A The Apple Tree House,ioii,"[ASSIGNED, AWAITING_DELIVERY]",369.60,0.00,2020-06-15T16:54:31.266190,karen,TRUE,17/06/2020,308.00,15/06/2020,Dudley,20.00
299,ABCDE001,Advanced Kitchens Ltd,645645645,"[RECEIVED, INVOICED]",96.00,0.00,2020-06-16T12:20:57.623009,default,FALSE,,80.00,16/06/2020,Stourport Bulk,50.00
